name,comment
Cao Thị Kiều Trang, "Happy birthday bé"
Ai khiến, "Không biết idol còn tật đái ra sàn r bắt mẹ ny dọn nữa k nhỉ :))"
Hoàng Trung Đức, "Happy New Year 😀"
Văn Hùng, "May be an image of text that says 'VCBDigibank CHUYỂN KHOẢN THÀNH CÔNG KHÔNG LÀM MÀ ĐỒI CÓ AN THÌ AN CUT AN ĐẦU BUOI Tên người thụ hưởng XÃ HỘI NÀY CHỈ CÓ LÀM Tài khoàn thụ hưởng CÀN CỦ BÙ SIÊNG NĂNG Ngân hàng thụ hưởng CHỈ ርዕ LAM ΜΟΊ co AN Mã giao dịch KHÔNG LÀM MÀ ĐỎI CO ÁN CHÍ Co AN CỨT Nội dung ĂN ĐẦU BUÒI, THE CHO Νό VUÔNG Lưu mâu chuyên tiên Thực hiện giao dịch mới'"
Nguyễn Phương Thảo, "4d"
Nguyễn Trọng Nghĩa, "Vl ăn xin online"
Nịnh Văn Yên, "Của nhiều lòng ít"
Đỗ Văn Chuyền, "Chúc trần hà linh mau ăn chóng lớn"
Nguyen Anh Tuan, "Hpbd vịu ơ"
Phi D.Hồng, "Coá tài năng gì không em ?"
Sơn Kim Mã, "Chúc mừng sn cô Linh 🎈"
Kenji Nguyễn, "Ăn xin onl à"
Lưu Đạt Quang, "Chúc em phát tài, phát lộc 🎉🎉"
Quach Đai Ca, "Chúc mừng sn cháu nhé tuổi mới hp bình an"
Pham Ha Anh, "happy birthday cưng nha"
Chí Công, "chúc mừng sinh nhật em"
Tommy Tèo, "Xin clip nha tập thể càng tốt"
Trần Minh Quân, "Bình chứa tôn nên não toàn💩💩"
Lê Văn Dũng, "Happy birthday bé iu"
Mai Hoangthi, "Mừng sinh nhật thì nhớ ra clip mới cho ae nhé"
Phạm Tùng Dương, "Nhục quá linh ạ"
Tống Trường Giang, "Chuyên mục xin tiền bắt đầu à"
Nguyễn Nhật Linh, "Up Stk là đi khách à"
Nguyễn Thị Hồng Nhung, "Sn t không xịn như nó nhưng cũng không đến nỗi đi xin ăn online 😃"
Minh Hải, "Có chút tấm lòng gửi tới bà con miền trung 🥰"
Nguyễn Hiếu, "c linh snvv nha🎂"
Nguyễn Hương, "ê thắc mắc bộ an phải ghi stk vậy hax ?"
Lý Trường Sơn, "Bl xuyên đêm"
Vân Eva, "Mỗi người cho ta 1 nghìn là ta đã có thêm 1 tỷ đồng , để tiền đó lên vùng cao xây đc mấy cái lớp học vỡ lòng"
Phu le Ngoc, "Cừ ẻ"
Nguyễn Văn Pháp, "Của ít lòng nhiều e nhé"
Mạnh Lê, "Xin kinh phí để ra bộ phim thứ 2 à"
Hoàng Lâm, "Nhìn mặc đồ lạ quá"
Hoàng Hải Lâm, "Body lấy đi bao nhiêu trung tình của ae lọ thủ😂😂😂"
Xuân Quang, "Happy bird day￼✌️"
Hữu Nhân, "Nếu xét theo góc độ làm thương hiệu cá nhân thì bé này chắc là TRÙM. Xây dựng hình ảnh từ sau vụ lộ clip đến giờ giống như JAV vậy, cđm đéo thể quay xe từ ghét ghét thành yêu yêu được luôn"
Nguyễn Hữu Lâm, "sinh nhật nhưng ko quên gửi stk lên mxh :))"
Đạt Lee, "Sao lại chuyển 2k thế"
Andy Nguyen, "ngon thật"
Lâm, "Ăn xin onl luôn :))"
Huỳnh Văn Quý, "Rồi rồi tối nay lại xôn lừng rồi linh ơi .ra clip mới ae hóng. 🤣"
Tuấn Tỉ Tỉ, "Sn đăng stk."
Nguyễn Tường, "Video đâu😭"
Đức Toàn, "Ăn xin online"
Philip Lê, "Hóng clip mới"
Lê Anh Say, "Có cái đầu bùi . K làm đòi có ăn"
Khải Chuốii, "Thằng nào xem em nó rồi thì bank tiền đê🤣"
Nguyễn Minh Tâm, "Của ít lòng vòng"
Thùy Phương, "mừng sn vợ 😭"
Quân Nguyễn, "Donate càng nhiều lụm càng mạnh :)))"
Hoàng Quân, "Mai Việt Anh em donate cho idol bát phở"
Viết Huy, "Ăn mày hả"
Phạm Quang Trung, "bựa"
Hi Hi, "Gửi ạ , ít mà lòng vòng:)))"
Trương Văn Cương, "Trương Nghĩa ơ e"
Hoang Anh, "Thê đéo lại post stk lên làm cđg nhỉ"
Trần Duy Cương, "Ơ trước ôm Xiang giờ lại không thấy nữa ha"
Alice Alice, "Nó tự tạo nét cho người ta chửi nó xong lên khóc lóc nói người ta ép nó, củng con gái sao k thẩm nổi luôn á."
Đinh Văn Quang, "Sn đêm đấy tiếp mấy anh 🤣"
BùiHữu Mạnh, "Ủa s đăng ph kèm stk lmj z"
Nguyễn Tuấn Văn, "ăn xin onl ah 🤪"
Hoàng Vũ, "Fetti đơi trần hà linh :))"
Hoang Dongg, "của ít nhưng lòng nhiều 😘"
Hoàng Như Hải, "Cha bố nó giờ bớp sắp thống trị thế giới rồi cũng nên mặt dày hơn mặt thớt : ))"
Nguyễn Ngọc, "Ăn xin onl à"
Them Cao, "Toàn bồn chứa trẻ tuổi"
HO Hi, "Xả vào đâu là xả vào đâu, xả vào đây là xả vào đây"
Duc Tuan, "của ít lòng vòng"
Nguyễn Minh Quân, "ước gì đc chị này acp fb"
Nguyễn Thanh, "Mn ủng hộ miền trung nhé .còn con này chỉ Cho ăn Cứt thôi"
Hoàng Đạt, "Hép bi niu dia 🎂🎂🫶"
Quang Hà, "Thắng mời tôi mà tôi không đi được"
Tiến Tồ, "E Đúng là Top 1 Seve. Mau ra clip ae thẩm nha"
Lê Văn Ngọc, "Gim stk ăn lol à"
Trình Trương, "Ăn xin online à ,anh an to ny của em đâu rồi😂😂😂"
Vi Xuân Huy, "Từ bao giờ mà sinh nhật mà đi thêm cái stk vậy"
Tăng Hồng Viên, "Nhìn cặp .... À mà thôi"
Nguyễn Xuân Sáng, "Nguyễn Văn Hào qua k chụp ảnh à"
Khai An, "có vd mới ch"
Trần Long Giang, "Mình k có nhiều, chỉ có 1 ít thôi"
Lê Đình Sang, "Tôi đề nghị ae ko hóng hớt nhé . r ai cx có phần 🤣"
Võ Thanh Lan, "2k job ngon lành, nhắn @ggqk7"
Gia Hưng, "đẳng cấp để thẳng stk hayb lắm"
N.M.P Nguyễn, "con ăn xin đầu buôi của xh"
Thuỳ Linh, "đọc cmt cười điêngg với mấy khứa"
Chung Gấu, "Các bác cho e xin online ké"
Đoàn Phátt, "Snvv"
Thu Emm, "Nguyễn Phạm Thanh Thảo của nộc nhé"
Bùi Thanh Như, "2k line gấp, ping @ggqk7"
Hải Đăng, "May be an image of text that says 'CHUYÊN KHOÀN THÀNH CÔNG KHÔNG LÀM ĐÔI ĐOICÓAN co AN THI AN CÚT AN ĐÂU υ Tên người thụ hường XÃ HỘI NÀY CHỈ Σό LÀM Tài khoản thụ hường CẦN cÙ BÙ SIÊNG NĂNG Mã giao dịch CHÌ cό LÀM THÌ μόι cό ĂN Nội dung KHÔNG LÀM ĐÒI CÓ ĂN CHỈ cό ĂN CỨT Lưu mẫu chuyền tiền ĂN ĐẦU BUỐI, τHέ CHO N VUÔNG Chias sẻ Lưu Luuanh ảnh Lưu thụ hưo Lưu.thhường 9 Thực hiên giao dịch mới'"
Sáng Cô Ca, "Nay kiểu gì cũng đái"
Thái Sơn, "Giờ sinh nhật kèm ăn xin online à"
Hao Tran, "Mừng sinh nhật ra clip mới em ơi"
Viết Huyy, "Phi Long vô chúc sn vợ kìa"
