"author","comment","title"
"vtnhuyennn__","Hồi A50 là các bạn chế giễu và chửi dân Miền Nam xồn xồn , không có văn hoá , văn minh . Con gái Miền Nam không có giá trị . Giờ bị chửi lại cái các bạn dựng lên cãi cố .Kêu phân biệt vùng miền =)) Là muốn saoooo? Kèo thơm: “Thủ đô ngàn năm văn hiến” Kèo thúi: “Ở đâu cũng có người này người kia” or “Người ở tỉnh khác ra phá” Cãi không lại: “Bọn mày pbvm, cali thiếu nước à?” Cả nước xem diễu binh củng thấy A50 rõ tôn trọng và vui vẻ , trật tự hơn A80 rất nhiều . Là các bạn chửi ngta trước mà🙄","Hồi A50 là các bạn chế giễu và chửi dân Miền Nam xồn xồn , không có văn hoá ,..."
"black_vir","Vẫn mắc cười cái văn hoá đòi vả người khác","Hồi A50 là các bạn chế giễu và chửi dân Miền Nam xồn xồn , không có văn hoá ,..."
"108.smilodon","Bắc kỳ là chúa kỳ thị vùng miền, bắc kỳ tự cho là: - Giọng/ từ ngữ bắc là chuẩn, còn lại là giọng/ từ ngữ địa phương - Đồ ăn phải chuẩn bắc, món ăn tỉnh khác đều xuất xứ bắc - Bắc làm lãnh đạo có lý luận - Dân miền bắc xkld đem tiền đô về, dân Nam tham ăn nhậu nhẹt lười làm - Hài bắc thâm thúy, hài Nam nhảm - Miền bắc giữ gìn truyền thống, các vùng khác văn hóa đều phải giống bắc kỳ - bắc kỳ mặc định Nam Kỳ hoặc ai kiu bắc kỳ là 3que phản động - Dân bắc làm có để dành, dân Nam phung phí","Hồi A50 là các bạn chế giễu và chửi dân Miền Nam xồn xồn , không có văn hoá ,..."
"danteevans99999","Một bài học ai rồi cũng sẽ học: ""không có sự kỳ thị nào là tự nhiên sinh ra cả"" 😆😂🤭 Không phải ngẫu nhiên mà từ bắc kỳ sức sát thương lớn hơn hẳn trung kỳ hay nam kỳ 🤣😌","Hồi A50 là các bạn chế giễu và chửi dân Miền Nam xồn xồn , không có văn hoá ,..."
"____tmquan____","Tôi ng HN nhưng ủng hộ các bạn , các bạn cứ chửi thoải kái để bọn đb nó khôn ra Dcm chúng nó mất mặt đéo chịu được","Hồi A50 là các bạn chế giễu và chửi dân Miền Nam xồn xồn , không có văn hoá ,..."
"vutrang488","Nói tao pbvm cũng đượcc, nhưng tao dell mê nổi parky, có thể tao ko may mắn nên toàn var phải parkycho không, bao lần xém chết vì parky nên tao dell mê nổi chúng nó. Tao sinh ra và lớn lên trong namky, gốc bắc, gia đình cách mạng nòi nhưng tao lại ko thể hoà hợp nổi văn hoá parky, đặc biệt là bọn tự nhận người hà thành, người phố cổ chục hộ gia đình dùng chung một nhà xí 🤦🏻‍♂️","Hồi A50 là các bạn chế giễu và chửi dân Miền Nam xồn xồn , không có văn hoá ,..."
"chikute.bui","Mình người bắc mà mình đọc mấy bài này mình gật đầu lia lịa, mình ko sống bậy như bọn đang bị chửi và mình nghĩ phải có nhiều bài chê như này thì bọn vô ý thức nó mới bớt bớt đi. Còn mẹ nào ko vô ý thức thì im đi vì ko ai chửi mấy mẹ đâu mà nhảy dựng lên","Hồi A50 là các bạn chế giễu và chửi dân Miền Nam xồn xồn , không có văn hoá ,..."
"yes_thatisyou","Ai cũng quên trong này trộm drone à? D phải vấn đề vùng miền nữa mà do dân mình ý thức tệ vãi l","Hồi A50 là các bạn chế giễu và chửi dân Miền Nam xồn xồn , không có văn hoá ,..."
"anhanh1115679","Ở SG ko thấy ai dám đưa cả nhà lên trụ điện ngồi xem như này","Hồi A50 là các bạn chế giễu và chửi dân Miền Nam xồn xồn , không có văn hoá ,..."
"_paotramm","Kèo thơm: người HN Kèo thúi: dân HN gốc chẳng ai thèm đi xem, toàn dân tỉnh lẻ","Hồi A50 là các bạn chế giễu và chửi dân Miền Nam xồn xồn , không có văn hoá ,..."
