"author","comment","title"
"thodaoghe","Phân biệt vùng miền !","Phân biệt vùng miền !"
"nogame_nohow","‘Lãnh đạo phải là người Bắc, biết ní nuận.’ Trọng Lú trước khi đi thăm Boác Hù đã dặn thế! 😂😁😃","Phân biệt vùng miền !"
"justinn2607","Tại toàn lũ bợ đít Gia long với vện con thì đéo ai cho lên nổi 🤡","Phân biệt vùng miền !"
"truonhbinh","Bắc ky + Công Sản = C.hó","Phân biệt vùng miền !"
"sinhhoangkhuong","Người nam là loại người nào","Phân biệt vùng miền !"
"tieulylaodown","Anh Ba X xưa quê đâu nhỉ? Thời xưa ai thực quyền bạn có biết không? Mãi thời cụ Trọng lên thì TBT mới thể hiện đc vai trò.","Phân biệt vùng miền !"
"nogame_nohow","Rõ ràng là lời kêu gọi “Hoà Hợp Hoà Giải” của VC chúng nó chẳng khác gì kêu gọi những con chó nhà hãy sống chung với chó sói!","Phân biệt vùng miền !"
"sinhhoangkhuong","Khác gì 3/ là chó cưng của mỹ","Phân biệt vùng miền !"
"tra_da_via_he_","Loại chúng mày thì loại từ lức mới nở","Phân biệt vùng miền !"
"xanhkinhte","Người miền Nam là dân tộc nào. Đưa người Hoa lên hả.","Phân biệt vùng miền !"
"louisrosa46","Rồi sao,để bọn ngụy chúng mày lại rước ngoại bang về xâm lược nữa à.","Phân biệt vùng miền !"
"nam.dp","Đúng ngay tim đen bọn tộc cối","Phân biệt vùng miền !"
"lao_dai_78","Có thì chắc chia 2 vì tư tưởng theo vnch nó ăn trong máu rồi","Phân biệt vùng miền !"
"yzyz_jxy","Cho chúng mày vào nhà nước để chúng mày lại bán nước à =)))) mấy con ngan con tỉnh đi","Phân biệt vùng miền !"
"quachtrongvan","Không phải không có mà là chưa có người tài lên được Đám cẩu nô chúng mày tính chia rẽ ai😂","Phân biệt vùng miền !"
"horus970124","Mấy thằng phản động chúng m ngoài bới lông tìm về ra thì còn làm đc cc gì nữa =))))) ông cha bán nước bợ djt giặc, con cháu lưu vong cắn tổ quốc =)))) cả dòng họ nô tính vi tôn, nô huyết chảy xuôi =))))) ngon thì bạo động khởi nghĩa đi =)))))))))","Phân biệt vùng miền !"
