"author","comment","title"
"stoner.duy","văn của người Việt khi nói về tham nhũng: ""tham nhũng thì ở đâu chẳng có"" điển hình của tư duy ""người khác không làm được mình không làm được là bình thường""","văn của người Việt khi nói về tham nhũng: ""tham nhũng thì ở đâu chẳng có"" điển hình của tư..."
"linkink01","Tao đố mày phản biện được câu ""tham nhũng thì ở đâu chẳng có đấy"" :))","văn của người Việt khi nói về tham nhũng: ""tham nhũng thì ở đâu chẳng có"" điển hình của tư..."
"vtt_2502","Trích lời Bác Trọng:""bản lĩnh chính trị anh tốt, anh không bị đứa nào lôi kéo thì làm gì mà tham nhũng"", người thật việc thật mà cứ cho tham nhũng là bản chất, là hiển nhiên Cũng vì cái tư duy này nên càng ngày tham nhũng càng nhiều ấy chứ","văn của người Việt khi nói về tham nhũng: ""tham nhũng thì ở đâu chẳng có"" điển hình của tư..."
"samatha.larsen.cole","Nước ngoài cũng có tham nhũng, nhưng người ta có vỗ ngực tự hào Học tập và làm theo tấm gương đạo đức Hồ Chí Minh ko? Người ta có thấm nhuần tư tưởng Cách Mạng ko? Đảng viên nước ta được đào tạo những tư tưởng ""đỉnh cao trí tuệ"" thì phải khác chứ, sao mà so sánh với bọn nhân cách tồi tệ đó được. Trừ khi Đảng thừa nhận Đảng tuyên truyền và đào tạo xạo láo đi rồi hãy so sánh","văn của người Việt khi nói về tham nhũng: ""tham nhũng thì ở đâu chẳng có"" điển hình của tư..."
"noisy_film","Nói như cặc ấy a ạ. A có được dạy là sẽ cướp của giet người không, có được dạy là lừa dối các kiểu không ? Mà sao vẫn có tỉ lệ phạm tội thế ? Cái gì ra cái đó, sai thì chịu phạt, lại lấy lỗi cá nhân đi đánh giá toàn bộ Đảng, ai dạy anh lập luận như cac vậy :))))","văn của người Việt khi nói về tham nhũng: ""tham nhũng thì ở đâu chẳng có"" điển hình của tư..."
"venhuynh1120","Thì đúng mà, quan trọng là ít hay nhiều thôi,ít thì bình thường còn nhiều mới bất thường.","văn của người Việt khi nói về tham nhũng: ""tham nhũng thì ở đâu chẳng có"" điển hình của tư..."
"tuanna_ins","Giống như bảo ""ung thư ở đâu cũng có"" rồi từ chối điều trị, hoặc ""nhà nào cũng có chuột"" rồi mời chuột lên giường ngủ chung. Singapore có chuột nhưng bẫy kỹ, ta thì thả chuột chạy rông rồi an ủi nhau ""bình thường mà"". Thực chất: Câu thần chú để biến nạn nhân thành đồng lõa - kẻ ăn cắp nhẹ nhõm, người bị ăn cắp tự an ủi, và hệ thống cứ thế mà... ""bình thường"". Bạn ạ, dùng từ ngữ thì cho nó chính xác cẩn thận là 1, lấy ví dụ rõ ràng có số liệu là 2, không quy chụp là 3","văn của người Việt khi nói về tham nhũng: ""tham nhũng thì ở đâu chẳng có"" điển hình của tư..."
"phucboicuto","""Người ta ăn mứt được thì mình cũng ăn được mứt.""","văn của người Việt khi nói về tham nhũng: ""tham nhũng thì ở đâu chẳng có"" điển hình của tư..."
"mnbv31597","LHQ còn là cái ổ tham nhũng kìa! Nói “ở đâu chẳng có tham nhũng” nó hoàn toàn ko đồng nghĩa với “tham nhũng là bình thường”","văn của người Việt khi nói về tham nhũng: ""tham nhũng thì ở đâu chẳng có"" điển hình của tư..."
"soontobed34","Nhưng mà mục đích của nói câu đó là gì? Cố bình thường hóa tham nhũng?","văn của người Việt khi nói về tham nhũng: ""tham nhũng thì ở đâu chẳng có"" điển hình của tư..."
"hieunguyenretoucher","Lại mấy cháu du học","văn của người Việt khi nói về tham nhũng: ""tham nhũng thì ở đâu chẳng có"" điển hình của tư..."
"tan_tan5167","Ý nó rằng ở mỹ cũng tham nhũng như triều tiên thì lấy đéo gì chê, đấy đấy kiểu ấy. Hỏi con đĩ mẹ nó thích sống 1 quốc gia dc quyền cất lên tiếng nói, dc có đồ ăn thịt cá đầy đủ, con cái dc sống trong 1 môi trường tự do đầy đủ tiện nghi hay thích sống trong 1 nơi m phải ngậm cái họng chỉ biết ca ngợi gia đình nào kia, ăn thì cơm độn khoai đủ no là dc, tới tối cúp điện ngủ sớm chơi thì chơi quanh nhà ai cho m lên mạng coi yt chơi game? Hóng mấy con bò nếu có kiếp sau t là người triều tiên","văn của người Việt khi nói về tham nhũng: ""tham nhũng thì ở đâu chẳng có"" điển hình của tư..."
"senseihikaru","Ngu hay chơi đồ mà nói Triều Tiên ăn cơm độn khoai? Tối cúp điện ngủ sớm? Đi Triều Tiên chưa mà phán như má mày đẻ trước năm 45 vậy?","văn của người Việt khi nói về tham nhũng: ""tham nhũng thì ở đâu chẳng có"" điển hình của tư..."
"phihongthai","hihi, bọn tham nhũng bao che cho nhau","văn của người Việt khi nói về tham nhũng: ""tham nhũng thì ở đâu chẳng có"" điển hình của tư..."
"_manhhtrii_","Các bố cứ nói mồm với nhau nhma đến lúc bảo nghĩ ra giải pháp để hạn chế tham nhũng thì lặn mất tăm =))))","văn của người Việt khi nói về tham nhũng: ""tham nhũng thì ở đâu chẳng có"" điển hình của tư..."
"jesyysus.88","Bởi vậy chúng nó coi tham nhũng là điều bình thường","văn của người Việt khi nói về tham nhũng: ""tham nhũng thì ở đâu chẳng có"" điển hình của tư..."
