"author","comment","title"
"thuan.truongvan1967","Sinh viên Philippines biểu tình phản đối tham nhũng của chính phủ sau Nepal Gen-Z","Sinh viên Philippines biểu tình phản đối tham nhũng của chính phủ sau Nepal Gen-Z"
"tisfall","Đông Lào tham nhũng hàng đầu thế giới, biểu tình coi cong an quân đội cộng sản nó tàn bạo ntn?","Sinh viên Philippines biểu tình phản đối tham nhũng của chính phủ sau Nepal Gen-Z"
"quocanh12c","Tôi chạ tin. Philippin đa đảng mà. Đâu phải 1 đảng độc tài cai trị. Lưu ý là nepan cũng đa đảng. Tôi chạ tin ở nepan có tham nhũng đâu!!! Hẹ hẹ","Sinh viên Philippines biểu tình phản đối tham nhũng của chính phủ sau Nepal Gen-Z"
"daily.mitcynnies_","bộ bọn này ít bài tập về nhà quá hả, sinh viên VN mình có thấy đứa nào rảnh làm mấy trò này đâu, cảm ơn các thầy cô đã giao dl đầy đủ để k ai rảnh hơi làm ba cái trò mèo này","Sinh viên Philippines biểu tình phản đối tham nhũng của chính phủ sau Nepal Gen-Z"
"leepham061379","Hi vong se den sv tre Vietnam. Yeu dat nuoc Vietnam chu dung bao gio tiep tay cho bon tham nhung hai dan.","Sinh viên Philippines biểu tình phản đối tham nhũng của chính phủ sau Nepal Gen-Z"
"kenvil89","Cần ngay Thiên An môn ở các nước","Sinh viên Philippines biểu tình phản đối tham nhũng của chính phủ sau Nepal Gen-Z"
"daonhukhuong","Đa đảng sao tham nhũng nhiều thế không biết","Sinh viên Philippines biểu tình phản đối tham nhũng của chính phủ sau Nepal Gen-Z"
"fleenew","Tin có thật. Sinh viên Philippines thật mãnh mẽ, đã đứng lên đấu tranh chống tham nhũng rồi. Cám ơn Nepal đã tiếp lửa.","Sinh viên Philippines biểu tình phản đối tham nhũng của chính phủ sau Nepal Gen-Z"
"trantuan6579","TUYỆT VỜI ! TÔI ĐÃ MONG TÌNH TRẠNG DÂN Ở CÁC NƯỚC NHÌN NHẬN RA NHIỀU VẤN ĐỀ NHIỀU CHIỀU VÀ ĐÚNG RA ĐẤU TRANH GẦN 1/4 THẾ KỈ TRƯỚC, NHƯNG MONG NĂM 2025 MỆNH HỎA NỔ RA CÁC CƠN TUYỆT VỌNG ĐÓ KHI DÂN KHÔNG THẤY CÔNG BẰNG KHÔNG TIN VÀO NHỮNG LỜI HỨA SUÔNG MỊ DÂN CỦA NHÀ CẦM QUYỀN NỮA...🤣","Sinh viên Philippines biểu tình phản đối tham nhũng của chính phủ sau Nepal Gen-Z"
"1crusher.26","bác làm trước đi nói ít thôi, chút e qua ra chụp ảnh tí mua nước cho tiếp sức, dù sao nay là CN","Sinh viên Philippines biểu tình phản đối tham nhũng của chính phủ sau Nepal Gen-Z"
"tranan02062018","Châu á đang trở thành điểm nóng đáng lo ngại","Sinh viên Philippines biểu tình phản đối tham nhũng của chính phủ sau Nepal Gen-Z"
"tv.lavender","Genz tư tưởng mới tốt có nhiều sự tiến bộ nhưng về chính trị và nắm giữ 1 đất nước thì sẽ rất nguy hiểm vì chưa có đủ kinh nghiệm và sự hiểu biết sâu rộng về tình hình. Minh chứng rõ nét cho sự non nớt trong chính trị là UK nó khiến đất nước bất ổn như thế nào.","Sinh viên Philippines biểu tình phản đối tham nhũng của chính phủ sau Nepal Gen-Z"
"long_thinh1122","Chắc hết gạo ròi","Sinh viên Philippines biểu tình phản đối tham nhũng của chính phủ sau Nepal Gen-Z"
"tramkhituong_stuu","Toàn các nước xung quanh TQ bạo động, lại đi đổ cho Mẽo làm 😹.","Sinh viên Philippines biểu tình phản đối tham nhũng của chính phủ sau Nepal Gen-Z"
"thetruongsmsl2","Mục đích của phương tây khi muốn đa đảng là để làm gì, để đấu đá nội bộ, tranh giành lợi ích, thúc đẩy mua chuộc để gây bạo loạn, bất ổn xh ở đất nước họ muốn, sau đấy là đất nc đó sẽ rơi vào hỗn loạn, dân nghèo vs 1 chính quyền do phương tây hẫu thuẫn sẽ đứng lên cùng với sự ban ơi của mẫu quốc xuất hiện như 1 vị anh hùng giải cứu đất nước khỏi sự hỗn loạn 😂 vs thế là họ đạt đc mục đích thay đổi chế độ vs kiểm soát 1 nước theo ý họ, điều đó sẽ khó có thể sảy ra ở VN 🤣","Sinh viên Philippines biểu tình phản đối tham nhũng của chính phủ sau Nepal Gen-Z"
"anhanh1115679","VN ủng hộ tham nhũng nên ko cần biểu tình. Chỉ cần có diễu binh 1212 là được rồi","Sinh viên Philippines biểu tình phản đối tham nhũng của chính phủ sau Nepal Gen-Z"
