"author","comment","title"
"cye38318","Việc xấu ở Bắc => chửi Bắc Việc xấu ở Trung => chửi Bắc Việc xấu ở Nam => chửi Bắc => Tất cả là tại miền Bắc","Việc xấu ở Bắc => chửi Bắc Việc xấu ở Trung => chửi Bắc Việc xấu ở Nam => chửi..."
"paigele_gint","Làm việc xấu giọng miền bắc => Bản chất tụi nó thế Làm việc xấu giọng miền khác => Gốc Bắc, Bắc 54, ....","Việc xấu ở Bắc => chửi Bắc Việc xấu ở Trung => chửi Bắc Việc xấu ở Nam => chửi..."
"anhminh9123","Dân Hà Nội sai->chửi dân Hà Nội Dân khác chê dân Hà Nội->Đếch care Dân Hà Nội chê->thượng đẳng,ngáo mác thủ đô:))","Việc xấu ở Bắc => chửi Bắc Việc xấu ở Trung => chửi Bắc Việc xấu ở Nam => chửi..."
"ntz.dat","Này hả","Việc xấu ở Bắc => chửi Bắc Việc xấu ở Trung => chửi Bắc Việc xấu ở Nam => chửi..."
"huhi7969","buồn hơn khi đa phần ng phân biệt là dân miền nam","Việc xấu ở Bắc => chửi Bắc Việc xấu ở Trung => chửi Bắc Việc xấu ở Nam => chửi..."
"04thang2_blue","Địt mẹ bọn 3 sọc","Việc xấu ở Bắc => chửi Bắc Việc xấu ở Trung => chửi Bắc Việc xấu ở Nam => chửi..."
"baki.hehe","Tại bắc kỳ sống dơ","Việc xấu ở Bắc => chửi Bắc Việc xấu ở Trung => chửi Bắc Việc xấu ở Nam => chửi..."
"nambui9572","Tôi là dân Bắc, sống trong Nam 20 năm nay: dân Nam có 2 loại: 1. Hào sảng, nghĩa khí. 2. Nguỵ quân tử.","Việc xấu ở Bắc => chửi Bắc Việc xấu ở Trung => chửi Bắc Việc xấu ở Nam => chửi..."
"bier_zzz","Cút về Bắc kì ngay","Việc xấu ở Bắc => chửi Bắc Việc xấu ở Trung => chửi Bắc Việc xấu ở Nam => chửi..."
"hanhteo07081969","Cụ tổ nhà mày gốc Bắc đấy","Việc xấu ở Bắc => chửi Bắc Việc xấu ở Trung => chửi Bắc Việc xấu ở Nam => chửi..."
"luucheese_","None","Việc xấu ở Bắc => chửi Bắc Việc xấu ở Trung => chửi Bắc Việc xấu ở Nam => chửi..."
"_binhht.ai","3 thanh hoá, 6 nam định","Việc xấu ở Bắc => chửi Bắc Việc xấu ở Trung => chửi Bắc Việc xấu ở Nam => chửi..."
"z68po_","vì ng Bắc bọn t quá chất =)))","Việc xấu ở Bắc => chửi Bắc Việc xấu ở Trung => chửi Bắc Việc xấu ở Nam => chửi..."
"munyexchange","Chất độc.","Việc xấu ở Bắc => chửi Bắc Việc xấu ở Trung => chửi Bắc Việc xấu ở Nam => chửi..."
"giaptrannhatkhanh","Chó parky bị dẫm phải đuôi mà nhảy dựng lên thế","Việc xấu ở Bắc => chửi Bắc Việc xấu ở Trung => chửi Bắc Việc xấu ở Nam => chửi..."
"108.smilodon","Bắc kỳ sống đáy xã hội toàn dìm người khác xuống để thấy bản thân mình tốt đẹp Bị chê lại thì giãy đành đạch lên, tự ái bắc cụ","Việc xấu ở Bắc => chửi Bắc Việc xấu ở Trung => chửi Bắc Việc xấu ở Nam => chửi..."
