"author","comment","title"
"pinkchilinggg","“ M người TH à?” Chối tđn được 😇😇","“ M người TH à?” Chối tđn được 😇😇"
"pinkchilinggg","Ô dổ ôi đăng cho vui ai biết viral xong mấy má vào cmt chửi gì ấy,ai pbvm cũng có đọc đâu chửi ai nghe. Còn t có chối đâu trời??? T thấy trùng hợp và tự hào t mới up 😌","“ M người TH à?” Chối tđn được 😇😇"
"long_daox","trước cũng không kì thị Thanh Hoá đâu mặc dù tôi quê quán Nghệ An. Hồi đấy khoảng cấp 1, cấp 2 tôi hỏi bố bố cứ kêu “Sau này lớn lên không giao lưu, kết bạn, làm ăn gì với người Thanh Hoá. Cứ gặp chúng nó thì tránh càng xa thì càng tốt cho mình thôi.” tôi cũng khá tò mò thắc mắc thì tôi cũng hỏi anh họ câu tương tự thì anh cũng kêu “Sau gặp Thanh Hoá thì tránh cho lành, ko tốt đẹp gì đâu. Lớn lên Long sẽ tự hiểu”. Rồi sau khi lên cấp 3 rồi đại học tổng kết tôi gặp 8 người Thanh Hoá thì có 1 đứa","“ M người TH à?” Chối tđn được 😇😇"
"yuying25_","Đứa nào đ dám nhận quê Thanh Hoá thì để t nhận, cứ làm như các tỉnh khác không có người xấu ý😂","“ M người TH à?” Chối tđn được 😇😇"
"_cutehehe_0","Sao mn kì thị thanh hoá v nhỉ, toi chơi ff có 1 bạn ở thanh hoá. B kể lúc nào cũng bị kick xong bị cno nói người thanh hoá:)) thấy tội vch chơi với nó dc 5 tháng rồi vui vcut tiếp xúc qua đt kh nói hết điều gì nhma b đó toi thấy tốt thật🤣","“ M người TH à?” Chối tđn được 😇😇"
"phamvanhung02","Tìm để bulol nó à m","“ M người TH à?” Chối tđn được 😇😇"
"pinkchilinggg","???","“ M người TH à?” Chối tđn được 😇😇"
"ducanh_2190","có gì đâu mà phải ngại b ơi :))","“ M người TH à?” Chối tđn được 😇😇"
"anhtayy2005","Thọ Xuân ạaaa","“ M người TH à?” Chối tđn được 😇😇"
"nghip_005","Ôke","“ M người TH à?” Chối tđn được 😇😇"
"_chinn.ahh","Thọ Xuân hả=))","“ M người TH à?” Chối tđn được 😇😇"
"nvt21122","Hậu lộc - Thanh Hóa chào bạn nhé","“ M người TH à?” Chối tđn được 😇😇"
"lign.27","Tìm mãi mới thấy Hậu Lộc kk","“ M người TH à?” Chối tđn được 😇😇"
"hutieumuc_12","Đã bắc kì lại còn thanh hoá","“ M người TH à?” Chối tđn được 😇😇"
"tuansaco.tdbd","Thanh hoá thì có ls đâu. Sao lại phải chối nhỉ","“ M người TH à?” Chối tđn được 😇😇"
"leeeethu_08","36 chào nhe","“ M người TH à?” Chối tđn được 😇😇"
