"author","comment","title"
"chequoclong","Nhà hát opera 1.500 tỷ, tại quận 2, TpHCM. Mơ ước về một tầng lớp tinh anh, biết thưởng thức nhạc thính phòng và không tham nhũng 😀. Cuối cùng chỉ có một đám tinh ranh (ma) và đống gạch vụn. Ảnh chụp từ quận 1.","Nhà hát opera 1.500 tỷ, tại quận 2, TpHCM. Mơ ước về một tầng lớp tinh anh, biết thưởng thức..."
"tuanlee101","Có đất nc méo nào ko tham nhũng =)) . Xây dựng cũng là tạo công ăn việc làm cho nhiều người . Chứ tiền VNĐ ra ngoài đâu có giá trị mà phải căng thẳng nhỉ . Chỉ cần không in bừa gây lạm phát . Thấy anh cũng lớn tuổi mà sao 3que thế ;))","Nhà hát opera 1.500 tỷ, tại quận 2, TpHCM. Mơ ước về một tầng lớp tinh anh, biết thưởng thức..."
"nv.thuongg","cái này là trung tâm triễn làm quy hoạch chứ làm đéo gì phải nhà hát. Trước khi muốn chửi cũng phải tìm hiểu kỹ vào, không người ta lại bảo vừa già vừa ngu","Nhà hát opera 1.500 tỷ, tại quận 2, TpHCM. Mơ ước về một tầng lớp tinh anh, biết thưởng thức..."
"nkg.2410.vn","Biết cặc gì đâu 🤫🤫 phán bừa là giỏi :))","Nhà hát opera 1.500 tỷ, tại quận 2, TpHCM. Mơ ước về một tầng lớp tinh anh, biết thưởng thức..."
"victor.gbao","Dạ anh ơi, anh dịch cái camera qua bên trái sẽ thấy nhà hát nó nằm trước dự án The Opera, cạnh cầu Ba Son. Hiện tại khu đất đang được tận dụng làm sân thể thao, ăn uống và hội chợ. Còn cái “đống gạch vụn” là trung tâm triển lãm quy hoạch nhé.","Nhà hát opera 1.500 tỷ, tại quận 2, TpHCM. Mơ ước về một tầng lớp tinh anh, biết thưởng thức..."
"onew2409","Thấu đáo và có hiểu biết 😌😌","Nhà hát opera 1.500 tỷ, tại quận 2, TpHCM. Mơ ước về một tầng lớp tinh anh, biết thưởng thức..."
"victor.gbao","Phải mở mang tới v mới chơi được vs Ô New 😌😌","Nhà hát opera 1.500 tỷ, tại quận 2, TpHCM. Mơ ước về một tầng lớp tinh anh, biết thưởng thức..."
"buiben","Trước xây cho bọn tham nhũng coi..mà giờ bắt nhiều quá...ko ai tham nhũng đủ để coi nên dừng lại rồi","Nhà hát opera 1.500 tỷ, tại quận 2, TpHCM. Mơ ước về một tầng lớp tinh anh, biết thưởng thức..."
"nnguyen.vo","Nhà hát nào cái này? Đó là trung tâm triễn lãm!","Nhà hát opera 1.500 tỷ, tại quận 2, TpHCM. Mơ ước về một tầng lớp tinh anh, biết thưởng thức..."
"lifeblue.ipaintred","Trung tâm triễn lãm mà ba :))) lú","Nhà hát opera 1.500 tỷ, tại quận 2, TpHCM. Mơ ước về một tầng lớp tinh anh, biết thưởng thức..."
"yaa.wuan_02",":))) già đầu ngu như bò","Nhà hát opera 1.500 tỷ, tại quận 2, TpHCM. Mơ ước về một tầng lớp tinh anh, biết thưởng thức..."
"nguyenmanh.trung.3","Chống tham nhũng là việc của nhà nước nhé, dân đen mà ý kiến là thành 3/ ngay :)))","Nhà hát opera 1.500 tỷ, tại quận 2, TpHCM. Mơ ước về một tầng lớp tinh anh, biết thưởng thức..."
"d00fenschmirtz","Địt mẹ m sang mỹ nó còn hốc nữa là","Nhà hát opera 1.500 tỷ, tại quận 2, TpHCM. Mơ ước về một tầng lớp tinh anh, biết thưởng thức..."
"meo.huy.3133","Og già nhỏ nào z dắt ổg dề đi, bị lãng trí gòi lên mạng nói tùm lum","Nhà hát opera 1.500 tỷ, tại quận 2, TpHCM. Mơ ước về một tầng lớp tinh anh, biết thưởng thức..."
"longlp0106","Dân oan Thủ Thiêm bị cướp đất, cướp nhà đầy nhóc. Cứ ngỡ qua phà Thủ Thiêm 1 vùng đất trũng toàn ruộng sẽ yên ổn nào ngợ bọn vượn khỉ đột hang pacpo vẫn mò qua tới !","Nhà hát opera 1.500 tỷ, tại quận 2, TpHCM. Mơ ước về một tầng lớp tinh anh, biết thưởng thức..."
"lil.zwongg","Thằng 3 que đã ngu còn thích tuyên truyền. Khai thật đi mày thuộc tổ chức nào","Nhà hát opera 1.500 tỷ, tại quận 2, TpHCM. Mơ ước về một tầng lớp tinh anh, biết thưởng thức..."
