"author","comment","title"
"nguyenale","Nhiều lúc thấy ng Nhật tuân thủ 1 cách máy móc , cứng nhắc","Nhiều lúc thấy ng Nhật tuân thủ 1 cách máy móc , cứng nhắc"
"_mar_8963","mang cái văn hóa khôn lỏi dạy người Nhật :))","Nhiều lúc thấy ng Nhật tuân thủ 1 cách máy móc , cứng nhắc"
"howard.7640","Nhìn hình này liên tưởng tới đường 2 chiều ở VN. Kẹt 1 cái là xe nó lủi sang chiều còn lại làm xe chiều kia ko đi được thế là kẹt mấy tiếng đồng hồ. Giờ thằng chủ thread này nói người ta cứng nhắc. Cười ẻ.","Nhiều lúc thấy ng Nhật tuân thủ 1 cách máy móc , cứng nhắc"
"captinh__","Thà im còn hơn đăng bài ngu để ngta chửi","Nhiều lúc thấy ng Nhật tuân thủ 1 cách máy móc , cứng nhắc"
"drolyagmi","nhưng bên làn kia để làm gì mn","Nhiều lúc thấy ng Nhật tuân thủ 1 cách máy móc , cứng nhắc"
"the_real_tuan","mày thanh hoá hay nghệ an ?","Nhiều lúc thấy ng Nhật tuân thủ 1 cách máy móc , cứng nhắc"
"trungctk10","Tôi ở tokyo 4 năm chưa gặp cảnh này bao giờ, chắc hẳn là trường hợp đặc biệt phải xếp hàng lên tàu. Đọc cmt nhiều đứa tự nhục thế kb 🤣🤣🤣","Nhiều lúc thấy ng Nhật tuân thủ 1 cách máy móc , cứng nhắc"
"nt.ken1","“ có thể tách con khỉ ra khỏi rừng - nhưng ko thể lấy khu rừng khỏi óc con khỉ “ Cái suy nghĩ khôn lỏi của bạn thật mang tính đại diện dân tộc á !","Nhiều lúc thấy ng Nhật tuân thủ 1 cách máy móc , cứng nhắc"
"acc_clone_dung_follow","None","Nhiều lúc thấy ng Nhật tuân thủ 1 cách máy móc , cứng nhắc"
"scarlett.2701","Cái này h là của t","Nhiều lúc thấy ng Nhật tuân thủ 1 cách máy móc , cứng nhắc"
"lieunhan.18","Thanh Hoá Nghệ An hay Hà Tĩnh nói đi","Nhiều lúc thấy ng Nhật tuân thủ 1 cách máy móc , cứng nhắc"
"ntt_08001","Xong ai cũng đi 2 bên như viêt nam là thành 2 bên cùng tắc","Nhiều lúc thấy ng Nhật tuân thủ 1 cách máy móc , cứng nhắc"
"q.datt","Ngu như này đi đâu đừng bảo ng Việt là được🙂","Nhiều lúc thấy ng Nhật tuân thủ 1 cách máy móc , cứng nhắc"
"_moon.mung","Anh hung dữ z anh =)))","Nhiều lúc thấy ng Nhật tuân thủ 1 cách máy móc , cứng nhắc"
"q.datt","A hiền mà 😂","Nhiều lúc thấy ng Nhật tuân thủ 1 cách máy móc , cứng nhắc"
"_moon.mung","Hong ai hiền mà chửi z hết trơn á =))","Nhiều lúc thấy ng Nhật tuân thủ 1 cách máy móc , cứng nhắc"
